# Cluster member catalog for G165 (SGAS J105039.6+001730)
# Cluster redshift: z = 0.351
# Cluster center: RA = 162.665 deg, Dec = +0.292 deg (J2000)
#
# Used in the strong lensing models presented in:
#   Galan et al. (2025), arXiv:2510.20561
#
# Column description:
#   ID     : Galaxy identifier
#   RA     : Right ascension [degrees, J2000]
#   Dec    : Declination [degrees, J2000]
#   z_spec : Spectroscopic redshift (-1 if not available)
#   z_phot : Photometric redshift (-1 if not available)
#   F814W  : HST/ACS F814W AB magnitude
#   F160W  : HST/WFC3 F160W AB magnitude
#   Type   : Redshift type (BCG / spec / phot)
#
#   ID            RA           Dec   z_spec   z_phot    F814W    F160W   Type
     1   162.6650000     0.2917000   0.3514  -1.0000    17.83    16.94    BCG
     2   162.6630000     0.2930333   0.3501  -1.0000    19.45    18.62   spec
     3   162.6688334     0.2892000   0.3523  -1.0000    19.87    19.02   spec
     4   162.6591666     0.2963667   0.3498  -1.0000    20.14    19.38   spec
     5   162.6680000     0.2987000   0.3488  -1.0000    20.56    19.74   spec
     6   162.6563332     0.2865333   0.3533  -1.0000    20.89    20.12   spec
     7   162.6751668     0.2945333   0.3509  -1.0000    21.03    20.24   spec
     8   162.6636666     0.2827000   0.3519  -1.0000    21.42    20.61   spec
     9   162.6723334     0.2853667   0.3541  -1.0000    21.78    20.97   spec
    10   162.6529998     0.2948667   0.3496  -1.0000    22.05    21.19   spec
    11   162.6700001     0.3025333   0.3527  -1.0000    22.23    21.45   spec
    12   162.6618333     0.3052000   0.3543  -1.0000    22.47    21.68   spec
    13   162.7024343     0.2976315  -1.0000   0.3482    22.97    22.14   phot
    14   162.7096244     0.3188295  -1.0000   0.3136    22.58    21.71   phot
    15   162.6509516     0.2912271  -1.0000   0.3674    21.93    21.19   phot
    16   162.6530107     0.2841688  -1.0000   0.3256    21.87    21.04   phot
    17   162.6498489     0.2468608  -1.0000   0.3432    23.03    22.05   phot
    18   162.6706831     0.2956524  -1.0000   0.3450    22.29    21.61   phot
    19   162.6589794     0.2446799  -1.0000   0.3000    22.15    21.44   phot
    20   162.6292150     0.2587170  -1.0000   0.3729    23.35    22.65   phot
    21   162.7048808     0.3035106  -1.0000   0.3539    23.15    22.21   phot
    22   162.6637078     0.2989762  -1.0000   0.3597    21.18    20.43   phot
    23   162.6706992     0.3136147  -1.0000   0.3447    23.91    23.18   phot
    24   162.6635138     0.2804331  -1.0000   0.3235    22.18    21.20   phot
    25   162.6281948     0.2472109  -1.0000   0.3154    22.46    21.47   phot
    26   162.6793494     0.2946340  -1.0000   0.3149    21.60    20.64   phot
    27   162.6777555     0.2869177  -1.0000   0.3665    21.34    20.57   phot
    28   162.6132861     0.3053761  -1.0000   0.3302    22.73    21.77   phot
    29   162.6623227     0.3250703  -1.0000   0.3050    21.44    20.67   phot
    30   162.6069097     0.2882189  -1.0000   0.3614    23.11    22.23   phot
    31   162.6595141     0.2860429  -1.0000   0.3578    20.88    19.89   phot
    32   162.6078554     0.2811284  -1.0000   0.3605    24.46    23.66   phot
    33   162.6645761     0.2894218  -1.0000   0.3381    20.65    19.83   phot
    34   162.6576736     0.2948832  -1.0000   0.3866    19.79    18.83   phot
    35   162.6606895     0.3428169  -1.0000   0.3353    22.73    21.62   phot
    36   162.6530632     0.2774635  -1.0000   0.3246    21.59    20.79   phot
    37   162.6214905     0.2807096  -1.0000   0.3565    21.61    20.63   phot
    38   162.6675000     0.2905063  -1.0000   0.3511    22.66    22.00   phot
    39   162.6828421     0.2984964  -1.0000   0.3946    20.61    19.61   phot
    40   162.6653720     0.2861237  -1.0000   0.3658    21.68    20.90   phot
    41   162.6377892     0.2828959  -1.0000   0.3462    23.80    23.04   phot
    42   162.6609470     0.2597291  -1.0000   0.3590    22.48    21.51   phot
    43   162.6308377     0.2447559  -1.0000   0.3231    23.26    22.33   phot
    44   162.6472992     0.2807290  -1.0000   0.3633    22.07    21.12   phot
    45   162.6611340     0.2875256  -1.0000   0.3582    23.36    22.47   phot
    46   162.6576145     0.2784680  -1.0000   0.3436    21.96    21.03   phot
    47   162.6156778     0.2680950  -1.0000   0.3078    23.05    22.17   phot
    48   162.6585019     0.2947055  -1.0000   0.3358    20.88    19.95   phot
    49   162.6450943     0.2536062  -1.0000   0.3623    22.50    21.76   phot
    50   162.6654263     0.3421930  -1.0000   0.3641    23.03    22.03   phot
    51   162.6604378     0.3168631  -1.0000   0.3511    23.93    23.36   phot
    52   162.6962066     0.3019672  -1.0000   0.3684    23.81    22.96   phot
    53   162.7156294     0.2664487  -1.0000   0.3598    22.47    21.72   phot
    54   162.6877558     0.3004846  -1.0000   0.3526    20.40    19.25   phot
    55   162.6685467     0.2753862  -1.0000   0.3258    22.13    20.81   phot
    56   162.6584609     0.2591909  -1.0000   0.3293    22.67    21.72   phot
    57   162.6152956     0.2647076  -1.0000   0.3109    22.51    21.47   phot
    58   162.6831431     0.2676053  -1.0000   0.3626    23.34    22.17   phot
    59   162.6674353     0.2974086  -1.0000   0.3200    20.97    20.12   phot
    60   162.6662392     0.3438015  -1.0000   0.3636    21.83    21.10   phot
    61   162.6430101     0.2789418  -1.0000   0.3000    21.84    20.93   phot
    62   162.6529498     0.3009520  -1.0000   0.3891    21.55    20.81   phot
    63   162.6652294     0.2721180  -1.0000   0.3759    22.36    21.01   phot
    64   162.6663350     0.2973629  -1.0000   0.3502    21.46    20.26   phot
    65   162.7024401     0.2562174  -1.0000   0.3410    23.08    22.11   phot
    66   162.7012121     0.2887890  -1.0000   0.3173    22.31    21.48   phot
    67   162.6503547     0.3373790  -1.0000   0.3204    21.03    20.13   phot
    68   162.6576962     0.2891622  -1.0000   0.3603    21.53    20.48   phot
    69   162.6771680     0.3322449  -1.0000   0.3380    22.05    21.52   phot
    70   162.7065015     0.3188859  -1.0000   0.3549    22.12    21.21   phot
    71   162.6652471     0.2898488  -1.0000   0.3383    21.07    20.23   phot
    72   162.6908548     0.2932728  -1.0000   0.3194    23.60    22.61   phot
    73   162.6142652     0.2767561  -1.0000   0.3677    21.86    20.96   phot
    74   162.6804082     0.2803541  -1.0000   0.3615    22.41    21.85   phot
    75   162.6780582     0.3426593  -1.0000   0.3510    23.14    22.23   phot
    76   162.6470685     0.2747206  -1.0000   0.3000    23.13    22.00   phot
    77   162.7150965     0.2841543  -1.0000   0.3702    21.18    20.09   phot
    78   162.6835851     0.2830707  -1.0000   0.3573    22.51    21.94   phot
    79   162.6599821     0.3390440  -1.0000   0.3538    22.27    21.21   phot
    80   162.6707982     0.2786597  -1.0000   0.3154    21.18    20.30   phot
    81   162.6715575     0.3379739  -1.0000   0.3672    22.70    21.99   phot
    82   162.6547259     0.3472144  -1.0000   0.3951    22.35    21.61   phot
    83   162.6092103     0.2787815  -1.0000   0.3625    22.73    21.78   phot
    84   162.6595461     0.3476451  -1.0000   0.3481    23.51    22.56   phot
    85   162.6482701     0.3312588  -1.0000   0.3275    21.94    21.24   phot
    86   162.6608769     0.2761359  -1.0000   0.3726    23.71    22.86   phot
    87   162.6588570     0.2601128  -1.0000   0.3491    21.08    20.27   phot
    88   162.6460203     0.3261210  -1.0000   0.3582    21.84    20.72   phot
    89   162.6517995     0.3320483  -1.0000   0.3417    23.28    22.54   phot
    90   162.6572066     0.2959560  -1.0000   0.3630    22.83    22.07   phot
    91   162.6254876     0.2566378  -1.0000   0.3411    23.72    22.75   phot
    92   162.6421909     0.2791636  -1.0000   0.3511    21.62    20.91   phot
    93   162.6710420     0.3177304  -1.0000   0.3000    22.43    21.55   phot
    94   162.6585586     0.2910727  -1.0000   0.3364    21.17    20.42   phot
    95   162.6653436     0.2436572  -1.0000   0.3427    22.15    21.29   phot
    96   162.6496480     0.2941180  -1.0000   0.3563    22.06    21.25   phot
    97   162.6477553     0.2733906  -1.0000   0.3642    23.26    22.53   phot
    98   162.7038202     0.2930530  -1.0000   0.3517    22.44    21.85   phot
    99   162.6581301     0.2951924  -1.0000   0.3793    23.48    22.68   phot
   100   162.6741460     0.2788310  -1.0000   0.3501    20.49    19.57   phot
   101   162.7043824     0.2886983  -1.0000   0.3005    21.34    20.33   phot
   102   162.6225930     0.2904265  -1.0000   0.3293    23.01    22.32   phot
   103   162.6629073     0.2392333  -1.0000   0.3319    22.86    22.00   phot
   104   162.6203396     0.2856872  -1.0000   0.3866    22.13    21.37   phot
   105   162.6636516     0.2976054  -1.0000   0.3480    22.34    21.57   phot
   106   162.6599047     0.2778351  -1.0000   0.3476    21.78    20.98   phot
   107   162.6411180     0.2851488  -1.0000   0.3363    22.37    21.80   phot
   108   162.6533313     0.2589522  -1.0000   0.3771    23.18    22.53   phot
   109   162.6882060     0.2925601  -1.0000   0.3260    23.13    22.06   phot
   110   162.6646034     0.2662919  -1.0000   0.3017    21.07    20.28   phot
   111   162.6677046     0.3056032  -1.0000   0.3454    21.92    21.18   phot
   112   162.6775054     0.3128588  -1.0000   0.3833    21.68    20.81   phot
   113   162.7013996     0.2979270  -1.0000   0.3257    23.02    21.96   phot
   114   162.6559132     0.2939300  -1.0000   0.3571    22.47    21.57   phot
   115   162.6586573     0.3037991  -1.0000   0.3527    21.05    20.20   phot
   116   162.6788947     0.2995568  -1.0000   0.3038    22.87    22.00   phot
   117   162.6307269     0.3388970  -1.0000   0.3254    21.77    21.07   phot
   118   162.6823557     0.3443934  -1.0000   0.3168    23.29    22.43   phot
   119   162.6607250     0.2839862  -1.0000   0.3349    21.49    20.72   phot
   120   162.6562677     0.2847269  -1.0000   0.3105    21.76    20.99   phot
   121   162.7119176     0.2811263  -1.0000   0.3554    22.77    22.00   phot
   122   162.6204257     0.3255387  -1.0000   0.3858    22.77    21.98   phot
   123   162.6365580     0.2624454  -1.0000   0.3855    23.30    22.33   phot
   124   162.6734827     0.2908360  -1.0000   0.3236    21.86    21.14   phot
   125   162.6471739     0.3105467  -1.0000   0.3282    22.10    21.08   phot
   126   162.6724164     0.2898349  -1.0000   0.3133    20.69    20.06   phot
   127   162.6266350     0.3081626  -1.0000   0.3444    20.44    19.62   phot
   128   162.6330092     0.2950290  -1.0000   0.3961    21.08    20.13   phot
   129   162.6750658     0.2781548  -1.0000   0.3562    21.61    20.67   phot
   130   162.6434625     0.2738071  -1.0000   0.3383    22.03    21.16   phot
